School,Nickname,City,State,Conference,Division
Simpson College,Storm,Indianola,Iowa,Iowa Intercollegiate Athletic Conference,III
Skidmore College,Thoroughbreds,Saratoga Springs,New York,Liberty League,III
Slippery Rock University of Pennsylvania,The Rock,Slippery Rock,Pennsylvania,Pennsylvania State Athletic Conference,II
Smith College,Pioneers,Northampton,Massachusetts,New England Women's and Men's Athletic Conference,III
Sonoma State University,Seawolves,Rohnert Park,California,California Collegiate Athletic Association,II
South Carolina State University,Bulldogs and Lady Bulldogs,Orangeburg,South Carolina,Mid-Eastern Athletic Conference,I
South Dakota School of Mines and Technology,Hardrockers,Rapid City,South Dakota,Rocky Mountain Athletic Conference,II
South Dakota State University,Jackrabbits,Brookings,South Dakota,The Summit League,I
Southeast Missouri State University,Redhawks,Cape Girardeau,Missouri,Ohio Valley Conference,I
Southeastern Louisiana University,Lions and Lady Lions,Hammond,Louisiana,Southland Conference,I
Southeastern Oklahoma State University,Savage Storm,Durant,Oklahoma,Great American Conference,II
Southern Arkansas University,Muleriders,Magnolia,Arkansas,Great American Conference,II
Southern Connecticut State University,Owls,New Haven,Connecticut,Northeast-10 Conference,II
Southern Illinois University Carbondale,Salukis,Carbondale,Illinois,Missouri Valley Conference,I
Southern Illinois University Edwardsville,Cougars[A 31],Edwardsville,Illinois,Ohio Valley Conference,I
Southern Methodist University,Mustangs,University Park,Texas,American Athletic Conference,I
Southern Nazarene University,Crimson Storm,Bethany,Oklahoma,Great American Conference,II
Southern New Hampshire University,Penmen,Manchester,New Hampshire,Northeast-10 Conference,II
Southern University,Jaguars and Lady Jaguars,Baton Rouge,Louisiana,Southwestern Athletic Conference,I
Southern Utah University,Thunderbirds,Cedar City,Utah,Big Sky Conference,I
Southern Vermont College,Mountaineers,Bennington,Vermont,New England Collegiate Conference,III
Southern Virginia University[A 2],Knights,Buena Vista,Virginia,Capital Athletic Conference,III
Southern Wesleyan University,Warriors,Central,South Carolina,Conference Carolinas,II
Southwest Baptist University,Bearcats,Bolivar,Missouri,Mid-America Intercollegiate Athletics Association,II
Southwest Minnesota State University,Mustangs,Marshall,Minnesota,Northern Sun Intercollegiate Conference,II
Southwestern Oklahoma State University,Bulldogs,Weatherford,Oklahoma,Great American Conference,II
Southwestern University,Pirates,Georgetown,Texas,Southern Collegiate Athletic Conference,III
Spalding University,Golden Eagles,Louisville,Kentucky,St. Louis Intercollegiate Athletic Conference,III
Springfield College,Pride,Springfield,Massachusetts,New England Women's and Men's Athletic Conference,III
St. Bonaventure University,Bonnies,St. Bonaventure,New York,Atlantic 10 Conference,I
St. Catherine University,Wildcats,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,III
St. Cloud State University,Huskies,St. Cloud,Minnesota,Northern Sun Intercollegiate Conference,II
St. Edward's University,Hilltoppers,Austin,Texas,Heartland Conference,II
St. Francis College,Terriers[A 24],Brooklyn,New York,Northeast Conference,I
St. John Fisher College,Cardinals,Pittsford,New York,Empire 8,III
St. John's University,Red Storm[A 26],Jamaica,New York,Big East Conference,I
St. Joseph's College (Brooklyn),Bears,Brooklyn,New York,Skyline Conference,III
St. Joseph's College (Long Island),Golden Eagles,Long Island,New York,Skyline Conference,III
St. Lawrence University[A 4][A 5],Saints,Canton,New York,Liberty League,III
St. Mary's College of Maryland,Seahawks,St. Mary's City,Maryland,Capital Athletic Conference,III
St. Mary's University,Rattlers,San Antonio,Texas,Heartland Conference,II
St. Norbert College,Green Knights,De Pere,Wisconsin,Midwest Conference,III
St. Olaf College,Oles,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference,III
St. Thomas Aquinas College,Spartans,Sparkill,New York,East Coast Conference,II
Stanford University,Cardinal,Palo Alto,California,Pac-12 Conference,I
State University of New York at Brockport,Golden Eagles,Brockport,New York,State University of New York Athletic Conference,III
State University of New York at Canton,Kangaroos,Canton,New York,Independent,III
State University of New York at Cobleskill,Fighting Tigers,Cobleskill,New York,North Eastern Athletic Conference,III
State University of New York at Cortland,Red Dragons,Cortland,New York,State University of New York Athletic Conference,III
State University of New York at Fredonia,Blue Devils,Fredonia,New York,State University of New York Athletic Conference,III
State University of New York at Geneseo,Knights,Geneseo,New York,State University of New York Athletic Conference,III
State University of New York at New Paltz,Hawks,New Paltz,New York,State University of New York Athletic Conference,III
State University of New York at Old Westbury,Panthers,Old Westbury,New York,Skyline Conference,III
State University of New York at Oneonta,Red Dragons,Oneonta,New York,State University of New York Athletic Conference,III
State University of New York at Oswego,Lakers,Oswego,New York,State University of New York Athletic Conference,III
State University of New York at Plattsburgh,Cardinals,Plattsburgh,New York,State University of New York Athletic Conference,III
State University of New York at Potsdam,Bears,Potsdam,New York,State University of New York Athletic Conference,III
State University of New York at Purchase,Panthers,Purchase,New York,Skyline Conference,III
State University of New York Maritime College,Privateers,The Bronx,New York,Skyline Conference,III
State University of New York Polytechnic Institute,Wildcats,Marcy,New York,North Eastern Athletic Conference,III
Stephen F. Austin State University,Lumberjacks and Ladyjacks,Nacogdoches,Texas,Southland Conference,I
Stetson University,Hatters,DeLand,Florida,Atlantic Sun Conference,I
Stevens Institute of Technology,Ducks,Hoboken,New Jersey,Empire 8,III
Stevenson University,Mustangs,Stevenson,Maryland,MAC Commonwealth Conference,III
Stockton University,Ospreys,Pomona,New Jersey,New Jersey Athletic Conference,III
Stonehill College,Skyhawks,Easton,Massachusetts,Northeast-10 Conference,II
Stony Brook University,Seawolves,Stony Brook,New York,America East Conference,I
Suffolk University,Rams,Boston,Massachusetts,Great Northeast Athletic Conference,III
Sul Ross State University,Lobos,Alpine,Texas,American Southwest Conference,III
Susquehanna University,River Hawks,Selinsgrove,Pennsylvania,Landmark Conference,III
Swarthmore College,Garnet,Swarthmore,Pennsylvania,Centennial Conference,III
Sweet Briar College,Vixens,Sweet Briar,Virginia,Old Dominion Athletic Conference,III
Syracuse University,Orange,Syracuse,New York,Atlantic Coast Conference,I
Tarleton State University,Texans & TexAnns,Stephenville,Texas,Lone Star Conference,II
Temple University,Owls,Philadelphia,Pennsylvania,American Athletic Conference,I
Tennessee State University,Tigers and Lady Tigers,Nashville,Tennessee,Ohio Valley Conference,I
Tennessee Technological University,Golden Eagles,Cookeville,Tennessee,Ohio Valley Conference,I
Texas A&M International University,Dustdevils,Laredo,Texas,Heartland Conference,II
Texas A&M University,Aggies,College Station,Texas,Southeastern Conference,I
Texas A&M University–Commerce,Lions,Commerce,Texas,Lone Star Conference,II
Texas A&M University–Corpus Christi,Islanders,Corpus Christi,Texas,Southland Conference,I
Texas A&M University–Kingsville,Javelinas,Kingsville,Texas,Lone Star Conference,II
Texas Christian University,Horned Frogs and Lady Frogs,Fort Worth,Texas,Big 12 Conference,I
Texas Lutheran University,Bulldogs,Seguin,Texas,Southern Collegiate Athletic Conference,III
Texas Southern University,Tigers and Lady Tigers,Houston,Texas,Southwestern Athletic Conference,I
Texas State University,Bobcats,San Marcos,Texas,Sun Belt Conference,I
Texas Tech University,Red Raiders[A 34],Lubbock,Texas,Big 12 Conference,I
Texas Woman's University,Pioneers,Denton,Texas,Lone Star Conference,II
The Citadel,Bulldogs,Charleston,South Carolina,Southern Conference,I
The College of New Jersey,Lions,Ewing,New Jersey,New Jersey Athletic Conference,III
The College of St. Scholastica,Saints,Duluth,Minnesota,Upper Midwest Athletic Conference,III
The Ohio State University,Buckeyes,Columbus,Ohio,Big Ten Conference,I
Thiel College,Tomcats,Greenville,Pennsylvania,Presidents' Athletic Conference,III
Thomas College,Terriers,Waterville,Maine,North Atlantic Conference,III
Thomas More College,Saints,Crestview Hills,Kentucky,Presidents' Athletic Conference,III
Tiffin University,Dragons,Tiffin,Ohio,Great Lakes Intercollegiate Athletic Conference,II
Towson University,Tigers,Towson,Maryland,Colonial Athletic Association,I
Transylvania University,Pioneers,Lexington,Kentucky,Heartland Collegiate Athletic Conference,III
Trevecca Nazarene University,Trojans,Nashville,Tennessee,Great Midwest Athletic Conference,II
Trine University,Thunder,Angola,Indiana,Michigan Intercollegiate Athletic Association,III
Trinity College,Bantums,Hartford,Connecticut,New England Small College Athletic Conference,III
Trinity University,Tigers,San Antonio,Texas,Southern Collegiate Athletic Conference,III
Trinity Washington University,Tigers,Washington,District of Columbia,Independent,III
Troy University,Trojans,Troy,Alabama,Sun Belt Conference,I
Truman State University,Bulldogs,Kirksville,Missouri,Great Lakes Valley Conference,II
Tufts University,Jumbos,Medford,Massachusetts,New England Small College Athletic Conference,III
Tulane University,Green Wave,New Orleans,Louisiana,American Athletic Conference,I
Tusculum College,Pioneers,Greeneville,Tennessee,South Atlantic Conference,II
Tuskegee University,Golden Tigers,Tuskegee,Alabama,Southern Intercollegiate Athletic Conference,II
Union College[A 12][A 13],Dutchmen,Schenectady,New York,Liberty League,III
Union University,Bulldogs,Jackson,Tennessee,Gulf South Conference,II
United States Air Force Academy (Air Force),Falcons,Colorado Springs,Colorado,Mountain West Conference,I
United States Coast Guard Academy (Coast Guard),Bears,New London,Connecticut,New England Women's and Men's Athletic Conference,III
United States Merchant Marine Academy(Merchant Marine),Mariners,Kings Point,New York,Skyline Conference[3],III
United States Military Academy (Army)[A 35],Black Knights,West Point,New York,Patriot League,I
United States Naval Academy (Navy),Midshipmen,Annapolis,Maryland,Patriot League,I
University at Albany, SUNY,Great Danes,Albany,New York,America East Conference,I
University at Buffalo,Bulls,Buffalo,New York,Mid-American Conference,I
University of Akron,Zips,Akron,Ohio,Mid-American Conference,I
University of Alabama,Crimson Tide,Tuscaloosa,Alabama,Southeastern Conference,I
University of Alabama at Birmingham,Blazers,Birmingham,Alabama,Conference USA,I
University of Alabama in Huntsville,Chargers,Huntsville,Alabama,Gulf South Conference,II
University of Alaska Anchorage,Seawolves,Anchorage,Alaska,Great Northwest Athletic Conference,II
University of Alaska Fairbanks,Nanooks,Fairbanks,Alaska,Great Northwest Athletic Conference,II
University of Arizona,Wildcats,Tucson,Arizona,Pac-12 Conference,I
University of Arkansas,Razorbacks and Razorback women,Fayetteville,Arkansas,Southeastern Conference,I
University of Arkansas – Fort Smith,Lions,Fort Smith,Arkansas,Heartland Conference,II
University of Arkansas at Little Rock,Trojans,Little Rock,Arkansas,Sun Belt Conference,I
University of Arkansas at Monticello,Boll Weevils & Cotton Blossoms,Monticello,Arkansas,Great American Conference,II
University of Arkansas at Pine Bluff,Golden Lions and Golden Lady Lions,Pine Bluff,Arkansas,Southwestern Athletic Conference,I
University of Bridgeport,Purple Knights,Bridgeport,Connecticut,East Coast Conference,II
University of California, Berkeley,Golden Bears,Berkeley,California,Pac-12 Conference,I
University of California, Davis,Aggies,Davis,California,Big West Conference,I
University of California, Irvine,Anteaters,Irvine,California,Big West Conference,I
University of California, Los Angeles,Bruins,Los Angeles,California,Pac-12 Conference,I
University of California, Riverside,Highlanders,Riverside,California,Big West Conference,I
University of California, San Diego,Tritons,La Jolla,California,California Collegiate Athletic Association,II
University of California, Santa Barbara,Gauchos,Santa Barbara,California,Big West Conference,I
University of California, Santa Cruz,Banana Slugs,Santa Cruz,California,Independent,III
University of Central Arkansas,Bears and Sugar Bears,Conway,Arkansas,Southland Conference,I
University of Central Florida,Knights,Orlando,Florida,American Athletic Conference,I
University of Central Missouri,Mules & Jennies,Warrensburg,Missouri,Mid-America Intercollegiate Athletics Association,II
University of Central Oklahoma,Bronchos,Edmond,Oklahoma,Mid-America Intercollegiate Athletics Association,II
University of Charleston,Golden Eagles,Charleston,West Virginia,Mountain East Conference,II
University of Chicago,Maroons,Chicago,Illinois,University Athletic Association,III
University of Cincinnati,Bearcats,Cincinnati,Ohio,American Athletic Conference,I
University of Colorado Boulder,Buffaloes,Boulder,Colorado,Pac-12 Conference,I
University of Colorado Colorado Springs,Mountain Lions,Colorado Springs,Colorado,Rocky Mountain Athletic Conference,II
University of Connecticut,Huskies,Storrs,Connecticut,American Athletic Conference,I
University of Dallas,Crusaders,Irving,Texas,Southern Collegiate Athletic Conference,III
University of Dayton,Flyers,Dayton,Ohio,Atlantic 10 Conference,I
University of Delaware,Fightin' Blue Hens,Newark,Delaware,Colonial Athletic Association,I
University of Denver,Pioneers,Denver,Colorado,The Summit League,I
University of Detroit Mercy,Titans,Detroit,Michigan,Horizon League,I
University of Dubuque,Spartans,Dubuque,Iowa,Iowa Intercollegiate Athletic Conference,III
University of Evansville,Purple Aces,Evansville,Indiana,Missouri Valley Conference,I
University of Findlay,Oilers,Findlay,Ohio,Great Lakes Intercollegiate Athletic Conference,II
University of Florida,Gators,Gainesville,Florida,Southeastern Conference,I
University of Georgia,Bulldogs and Lady Bulldogs,Athens,Georgia,Southeastern Conference,I
University of Hartford,Hawks,West Hartford,Connecticut,America East Conference,I
University of Hawai'i at Hilo,Vulcans,Hilo,Hawai'i,Pacific West Conference,II
University of Hawaii at Manoa,Rainbow Warriors and Rainbow Wahine,Honolulu,Hawaii,Big West Conference,I
University of Houston,Cougars,Houston,Texas,American Athletic Conference,I
University of Idaho,Vandals,Moscow,Idaho,Big Sky Conference,I
University of Illinois at Chicago,Flames,Chicago,Illinois,Horizon League,I
University of Illinois at Springfield,Prairie Stars,Springfield,Illinois,Great Lakes Valley Conference,II
University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,Big Ten Conference,I
University of Indianapolis,Greyhounds,Indianapolis,Indiana,Great Lakes Valley Conference,II
University of Iowa,Hawkeyes,Iowa City,Iowa,Big Ten Conference,I
University of Kansas,Jayhawks,Lawrence,Kansas,Big 12 Conference,I
University of Kentucky,Wildcats,Lexington,Kentucky,Southeastern Conference,I
University of La Verne,Leopards,La Verne,California,Southern California Intercollegiate Athletic Conference,III
University of Louisiana at Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt Conference,I
University of Louisiana at Monroe,Warhawks,Monroe,Louisiana,Sun Belt Conference,I
University of Louisville,Cardinals,Louisville,Kentucky,Atlantic Coast Conference,I
University of Maine,Black Bears,Orono,Maine,America East Conference,I
University of Maine at Farmington,Beavers,Farmington,Maine,North Atlantic Conference,III
University of Maine at Presque Isle,Owls,Presque Isle,Maine,Independent,III
University of Mary,Marauders,Bismarck,North Dakota,Northern Sun Intercollegiate Conference,II
University of Mary Hardin–Baylor,Crusaders,Belton,Texas,American Southwest Conference,III
University of Mary Washington,Eagles,Fredericksburg,Virginia,Capital Athletic Conference,III
University of Maryland Eastern Shore,Hawks and Lady Hawks,Princess Anne,Maryland,Mid-Eastern Athletic Conference,I
University of Maryland, Baltimore County,Retrievers,Catonsville,Maryland,America East Conference,I
University of Maryland, College Park,Terrapins,College Park,Maryland,Big Ten Conference,I
University of Massachusetts Amherst,Minutemen and Minutewomen[A 13],Amherst,Massachusetts,Atlantic 10 Conference,I
University of Massachusetts Boston,Beacons,Boston,Massachusetts,Little East Conference,III
University of Massachusetts Dartmouth,Corsairs,Dartmouth,Massachusetts,Little East Conference,III
University of Memphis,Tigers,Memphis,Tennessee,American Athletic Conference,I
University of Miami,Hurricanes[A 14],Coral Gables,Florida,Atlantic Coast Conference,I
University of Michigan,Wolverines,Ann Arbor,Michigan,Big Ten Conference,I
University of Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,Big Ten Conference,I
University of Minnesota Crookston,Golden Eagles,Crookston,Minnesota,Northern Sun Intercollegiate Conference,II
University of Minnesota Duluth,Bulldogs,Duluth,Minnesota,Northern Sun Intercollegiate Conference,II
University of Minnesota Morris,Cougars,Morris,Minnesota,Upper Midwest Athletic Conference,III
University of Mississippi,Rebels[A 16],Oxford,Mississippi,Southeastern Conference,I
University of Missouri,Tigers,Columbia,Missouri,Southeastern Conference,I
University of Missouri–Kansas City,Kangaroos,Kansas City,Missouri,Western Athletic Conference,I
University of Missouri–St. Louis,Tritons,St. Louis,Missouri,Great Lakes Valley Conference,II
University of Montana,Grizzlies[A 17],Missoula,Montana,Big Sky Conference,I
University of Montevallo,Falcons,Montevallo,Alabama,Gulf South Conference,II
University of Mount Olive,Trojans,Mount Olive,North Carolina,Conference Carolinas,II
University of Mount Union,Purple Raiders,Alliance,Ohio,Ohio Athletic Conference,III
University of Nebraska at Kearney,Lopers,Kearney,Nebraska,Mid-America Intercollegiate Athletics Association,II
University of Nebraska Omaha,Mavericks[A 19],Omaha,Nebraska,The Summit League,I
University of Nebraska–Lincoln,Cornhuskers,Lincoln,Nebraska,Big Ten Conference,I
University of Nevada, Las Vegas,Rebels[A 20],Paradise,Nevada,Mountain West Conference,I
University of Nevada, Reno,Wolf Pack,Reno,Nevada,Mountain West Conference,I
University of New England,Nor'easters,Biddeford,Maine,The Commonwealth Coast Conference,III
University of New Hampshire,Wildcats,Durham,New Hampshire,America East Conference,I
University of New Haven,Chargers,West Haven,Connecticut,Northeast-10 Conference,II
University of New Mexico,Lobos,Albuquerque,New Mexico,Mountain West Conference,I
University of New Orleans,Privateers,New Orleans,Louisiana,Southland Conference,I
University of North Alabama,Lions,Florence,Alabama,Gulf South Conference,II
University of North Carolina at Asheville,Bulldogs,Asheville,North Carolina,Big South Conference,I
University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,Atlantic Coast Conference,I
University of North Carolina at Charlotte,49ers,Charlotte,North Carolina,Conference USA,I
University of North Carolina at Greensboro,Spartans,Greensboro,North Carolina,Southern Conference,I
University of North Carolina at Pembroke,Braves,Pembroke,North Carolina,Peach Belt Conference,II
University of North Carolina at Wilmington,Seahawks,Wilmington,North Carolina,Colonial Athletic Association,I
University of North Dakota,Fighting Hawks[A 21],Grand Forks,North Dakota,Big Sky Conference,I
University of North Florida,Ospreys and Lady Ospreys,Jacksonville,Florida,Atlantic Sun Conference,I
University of North Georgia,Nighthawks,Dahlonega,Georgia,Peach Belt Conference,II
University of North Texas,Mean Green,Denton,Texas,Conference USA,I
University of Northern Colorado,Bears,Greeley,Colorado,Big Sky Conference,I
University of Northern Iowa,Panthers,Cedar Falls,Iowa,Missouri Valley Conference,I
University of Northwestern – St. Paul,Eagles,Roseville,Minnesota,Upper Midwest Athletic Conference,III
University of Notre Dame,Fighting Irish,South Bend,Indiana,Atlantic Coast Conference,I
University of Oklahoma,Sooners,Norman,Oklahoma,Big 12 Conference,I
University of Oregon,Ducks,Eugene,Oregon,Pac-12 Conference,I
University of Pennsylvania,Quakers,Philadelphia,Pennsylvania,Ivy League,I
University of Pittsburgh,Panthers[A 23],Pittsburgh,Pennsylvania,Atlantic Coast Conference,I
University of Pittsburgh at Bradford,Panthers,Bradford,Pennsylvania,Allegheny Mountain Collegiate Conference,III
University of Pittsburgh at Greensburg,Bobcats,Greensburg,Pennsylvania,Allegheny Mountain Collegiate Conference,III
University of Pittsburgh at Johnstown,Mountain Cats,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference,II
University of Portland,Pilots,Portland,Oregon,West Coast Conference,I
University of Puget Sound,Loggers,Tacoma,Washington,Northwest Conference,III
University of Redlands,Bulldogs,Redlands,California,Southern California Intercollegiate Athletic Conference,III
University of Rhode Island,Rams,Kingston,Rhode Island,Atlantic 10 Conference,I
University of Richmond,Spiders,Richmond,Virginia,Atlantic 10 Conference,I
University of Rochester,Yellowjackets,Rochester,New York,University Athletic Association,III
University of Saint Joseph,Blue Jays,West Hartford,Connecticut,Great Northeast Athletic Conference,III
University of San Diego,Toreros,San Diego,California,West Coast Conference,I
University of San Francisco,Dons,San Francisco,California,West Coast Conference,I
University of Scranton,Royals,Scranton,Pennsylvania,Landmark Conference,III
University of Sioux Falls,Cougars,Sioux Falls,South Dakota,Northern Sun Intercollegiate Conference,II
University of South Alabama,Jaguars,Mobile,Alabama,Sun Belt Conference,I
University of South Carolina,Gamecocks,Columbia,South Carolina,Southeastern Conference,I
University of South Carolina Aiken,Pacers,Aiken,South Carolina,Peach Belt Conference,II
University of South Carolina Upstate,Spartans[A 28],Spartanburg,South Carolina,Atlantic Sun Conference,I
University of South Dakota,Coyotes,Vermillion,South Dakota,The Summit League,I
University of South Florida,Bulls,Tampa,Florida,American Athletic Conference,I
University of Southern California,Trojans[A 29][A 30],Los Angeles,California,Pac-12 Conference,I
University of Southern Indiana,Screaming Eagles,Evansville,Indiana,Great Lakes Valley Conference,II
University of Southern Maine,Huskies,Portland,Maine,Little East Conference,III
University of Southern Mississippi,Golden Eagles and Lady Eagles,Hattiesburg,Mississippi,Conference USA,I
University of St. Thomas,Tommies,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,III
University of Tampa,Spartans,Tampa,Florida,Sunshine State Conference,II
University of Tennessee,Volunteers and Lady Vols[A 32],Knoxville,Tennessee,Southeastern Conference,I
University of Tennessee at Chattanooga,Mocs and Lady Mocs,Chattanooga,Tennessee,Southern Conference,I
University of Tennessee at Martin,Skyhawks,Martin,Tennessee,Ohio Valley Conference,I
University of Texas at Arlington,Mavericks,Arlington,Texas,Sun Belt Conference,I
University of Texas at Austin,Longhorns,Austin,Texas,Big 12 Conference,I
University of Texas at Dallas,Comets,Dallas,Texas,American Southwest Conference,III
University of Texas at El Paso,Miners,El Paso,Texas,Conference USA,I
University of Texas at San Antonio,Roadrunners,San Antonio,Texas,Conference USA,I
University of Texas at Tyler,Patriots,Tyler,Texas,American Southwest Conference,III
University of Texas of the Permian Basin,Falcons,Odessa,Texas,Lone Star Conference,II
University of Texas Rio Grande Valley[A 33],Vaqueros,Edinburg,Texas,Western Athletic Conference,I
University of the District of Columbia,Firebirds,Washington,District of Columbia,East Coast Conference,II
University of the Ozarks,Eagles,Clarksville,Arkansas,American Southwest Conference,III
University of the Pacific,Tigers,Stockton,California,West Coast Conference,I
University of the Sciences,Devils,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,II
University of Toledo,Rockets,Toledo,Ohio,Mid-American Conference,I
University of Tulsa,Golden Hurricane,Tulsa,Oklahoma,American Athletic Conference,I
University of Utah,Utes[A 36],Salt Lake City,Utah,Pac-12 Conference,I
University of Valley Forge,Patriots,Phoenixville,Pennsylvania,Independent,III
University of Vermont,Catamounts,Burlington,Vermont,America East Conference,I
University of Virginia,Cavaliers,Charlottesville,Virginia,Atlantic Coast Conference,I
University of Virginia's College at Wise,Highland Cavaliers,Wise,Virginia,Mountain East Conference,II
University of Washington,Huskies,Seattle,Washington,Pac-12 Conference,I
University of West Alabama,Tigers,Livingston,Alabama,Gulf South Conference,II
University of West Florida,Argonauts,Pensacola,Florida,Gulf South Conference,II
University of West Georgia,Wolves,Carrollton,Georgia,Gulf South Conference,II
University of Wisconsin–Eau Claire,Blugolds,Eau Claire,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Green Bay,Phoenix[A 38],Green Bay,Wisconsin,Horizon League,I
University of Wisconsin–La Crosse,Eagles,La Crosse,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Madison,Badgers,Madison,Wisconsin,Big Ten Conference,I
University of Wisconsin–Milwaukee,Panthers[A 39],Milwaukee,Wisconsin,Horizon League,I
University of Wisconsin–Oshkosh,Titans,Oshkosh,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Parkside,Rangers,Kenosha,Wisconsin,Great Lakes Valley Conference,II
University of Wisconsin–Platteville,Pioneers,Platteville,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–River Falls,Falcons,River Falls,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Stevens Point,Pointers,Stevens Point,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Stout,Blue Devils,Menomonie,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Superior,Yellow Jackets,Superior,Wisconsin,Upper Midwest Athletic Conference,III
University of Wisconsin–Whitewater,Warhawks,Whitewater,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wyoming,Cowboys and Cowgirls,Laramie,Wyoming,Mountain West Conference,I
Upper Iowa University,Peacocks,Fayette,Iowa,Northern Sun Intercollegiate Conference,II
Urbana University,Blue Knights,Urbana,Ohio,Mountain East Conference,II
Ursinus College,Bears,Collegeville,Pennsylvania,Centennial Conference,III
Ursuline College,Arrows,Pepper Pike,Ohio,Great Midwest Athletic Conference,II
Utah State University,Aggies,Logan,Utah,Mountain West Conference,I
Utah Valley University,Wolverines,Orem,Utah,Western Athletic Conference,I
Utica College,Pioneers,Utica,New York,Empire 8,III
Valdosta State University,Blazers,Valdosta,Georgia,Gulf South Conference,II
Valparaiso University,Crusaders,Valparaiso,Indiana,Horizon League,I
Vanderbilt University,Commodores,Nashville,Tennessee,Southeastern Conference,I
Vassar College,Brewers,Poughkeepsie,New York,Liberty League,III
Villanova University,Wildcats,Radnor Township,Pennsylvania,Big East Conference,I
Virginia Commonwealth University,Rams,Richmond,Virginia,Atlantic 10 Conference,I
Virginia Military Institute,Keydets,Lexington,Virginia,Southern Conference,I
Virginia State University,Trojans,Ettrick,Virginia,Central Intercollegiate Athletic Association,II
Virginia Tech[A 37],Hokies,Blacksburg,Virginia,Atlantic Coast Conference,I
Virginia Union University,Panthers,Richmond,Virginia,Central Intercollegiate Athletic Association,II
Virginia Wesleyan College,Marlins,Virginia Beach,Virginia,Old Dominion Athletic Conference,III
Wabash College,Little Giants,Crawfordsville,Indiana,North Coast Athletic Conference,III
Wagner College,Seahawks,Staten Island,New York,Northeast Conference,I
Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Atlantic Coast Conference,I
Walsh University,Cavaliers,North Canton,Ohio,Great Lakes Intercollegiate Athletic Conference,II
Wartburg College,Knights,Waverly,Iowa,Iowa Intercollegiate Athletic Conference,III
Washburn University,Ichabods,Topeka,Kansas,Mid-America Intercollegiate Athletics Association,II
Washington & Jefferson College,Presidents,Washington,Pennsylvania,Presidents' Athletic Conference,III
Washington and Lee University,Generals,Lexington,Virginia,Old Dominion Athletic Conference,III
Washington College,Shoremen,Chestertown,Maryland,Centennial Conference,III
Washington State University,Cougars,Pullman,Washington,Pac-12 Conference,I
Washington University in St. Louis,Bears,St. Louis,Missouri,University Athletic Association,III
Wayne State College,Wildcats,Wayne,Nebraska,Northern Sun Intercollegiate Conference,II
Wayne State University,Warriors,Detroit,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Waynesburg University,Yellow Jackets,Waynesburg,Pennsylvania,Presidents' Athletic Conference,III
Weber State University,Wildcats,Ogden,Utah,Big Sky Conference,I
Webster University,Gorloks,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,III
Wellesley College,Blue,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,III
Wells College,Express,Aurora,New York,North Eastern Athletic Conference,III
Wentworth Institute of Technology,Leopards,Boston,Massachusetts,The Commonwealth Coast Conference,III
Wesley College,Wolverines,Dover,Delaware,Capital Athletic Conference,III
Wesleyan College,Wolves,Macon,Georgia,USA South Athletic Conference,III
Wesleyan University,Cardinals,Middletown,Connecticut,New England Small College Athletic Conference,III
West Chester University of Pennsylvania,Golden Rams,West Chester,Pennsylvania,Pennsylvania State Athletic Conference,II
West Liberty University,Hilltoppers,West Liberty,West Virginia,Mountain East Conference,II
West Texas A&M University,Buffaloes,Canyon,Texas,Lone Star Conference,II
West Virginia State University,Yellow Jackets,Institute,West Virginia,Mountain East Conference,II
West Virginia University,Mountaineers,Morgantown,West Virginia,Big 12 Conference,I
West Virginia Wesleyan College,Bobcats,Buckhannon,West Virginia,Mountain East Conference,II
Western Carolina University,Catamounts,Cullowhee,North Carolina,Southern Conference,I
Western Connecticut State University,Colonials,Danbury,Connecticut,Little East Conference,III
Western Illinois University,Leathernecks,Macomb,Illinois,The Summit League,I
Western Kentucky University,Hilltoppers and Lady Toppers,Bowling Green,Kentucky,Conference USA,I
Western Michigan University,Broncos,Kalamazoo,Michigan,Mid-American Conference,I
Western New England University,Golden Bears,Springfield,Massachusetts,The Commonwealth Coast Conference,III
